customer_id,age,city,employment_type,monthly_income,credit_score,product,loan_amount,tenure_months,interest_rate,emi,disbursement_date,days_past_due,default_flag,emi_to_income,loan_to_annual_income,ml_predicted_probability,risk_score,risk_category
CUST100000,42,Kolkata,Self-Employed,45746.0,705,Personal Loan,575583.0,48,16.38,16424.42,2024-03-04,0,0,35.90351068945918,1.048512438245967,0.5771908628274022,65,Medium
CUST100001,48,Jaipur,Salaried,39575.0,613,Business Loan,423123.0,60,12.63,9547.4,2024-04-21,1,0,24.12482627921668,0.8909728363866077,0.4472393278556948,45,Medium
CUST100002,35,Jaipur,Business Owner,48294.0,625,Gold Loan,315842.0,24,9.96,14568.68,2024-06-12,0,0,30.16664596016068,0.5449986885879543,0.5406500288426298,60,Medium
CUST100003,35,Hyderabad,Salaried,25000.0,586,Business Loan,232445.0,60,15.19,5553.06,2023-09-30,179,1,22.21224,0.7748166666666667,0.5077052127056884,45,Medium
CUST100004,45,Lucknow,Business Owner,37456.0,594,Business Loan,166122.0,12,11.52,14722.46,2024-05-09,314,1,39.30601238786843,0.3695936565570269,0.6256061648681505,65,Medium
CUST100005,27,Delhi,Self-Employed,54491.0,733,Business Loan,320297.0,60,17.04,7967.1,2024-03-22,0,0,14.620946578334038,0.4898316541569555,0.457095816890969,20,Low
CUST100006,37,Chennai,Business Owner,80964.0,595,Gold Loan,55875.0,12,10.98,4937.8,2023-08-09,265,1,6.098759942690578,0.0575101279581048,0.6099980705006455,30,Low
CUST100007,45,Bengaluru,Business Owner,102636.0,633,Personal Loan,886444.0,48,18.57,26304.06,2023-11-16,0,0,25.628492926458552,0.7197312184158905,0.5761300735736378,60,Medium
CUST100008,33,Lucknow,Salaried,35000.0,656,Home Loan,1500200.0,240,9.78,14259.27,2023-03-25,0,0,40.74077142857144,3.571904761904762,0.5240272024294104,90,High
CUST100009,42,Kolkata,Business Owner,125881.0,695,Personal Loan,273390.0,12,11.99,24289.09,2023-07-06,30,0,19.295278874492578,0.1809844217951875,0.4786556333951955,30,Low
CUST100010,37,Ahmedabad,Salaried,58247.0,628,Vehicle Loan,212395.0,60,11.52,4673.25,2023-11-26,0,0,8.0231599910725,0.3038711578850985,0.3675711698334659,30,Low
CUST100011,33,Pune,Self-Employed,35000.0,629,Home Loan,645940.0,120,11.08,8927.1,2023-03-09,0,0,25.506,1.537952380952381,0.4594862966601438,65,Medium
CUST100012,36,Ahmedabad,Business Owner,66736.0,609,Personal Loan,127178.0,36,15.56,4443.62,2024-11-28,0,0,6.658505154639176,0.1588073403660193,0.561336474049097,30,Low
CUST100013,34,Chennai,Business Owner,26410.0,561,Business Loan,318183.0,60,16.93,7895.7,2024-04-13,0,0,29.89663006436956,1.0039852328663386,0.5659381666776799,75,High
CUST100014,21,Jaipur,Self-Employed,87931.0,695,Personal Loan,57104.0,24,14.86,2764.98,2024-06-04,0,0,3.1444882919561925,0.0541181911574605,0.4322750464290447,20,Low
CUST100015,25,Delhi,Self-Employed,43360.0,612,Business Loan,433540.0,36,12.75,14555.53,2024-03-27,0,0,33.56902675276753,0.8332180196801968,0.4994804653820471,60,Medium
CUST100016,46,Delhi,Self-Employed,59704.0,519,Gold Loan,153913.0,12,10.48,13565.78,2023-07-26,1,0,22.721727187458125,0.2148278730626647,0.6145955398181059,50,Medium
CUST100017,35,Chennai,Salaried,20000.0,655,Personal Loan,58408.0,24,18.52,2930.66,2023-12-29,0,0,14.6533,0.2433666666666666,0.3870883231108014,30,Low
CUST100018,41,Mumbai,Salaried,64886.0,517,Business Loan,434945.0,24,16.67,21435.76,2024-05-06,0,0,33.03603242610116,0.5586014959570118,0.5944788996808348,70,High
CUST100019,42,Delhi,Salaried,53237.0,602,Home Loan,2149071.0,180,9.48,22415.2,2023-08-01,0,0,42.10455134586847,3.363999661889288,0.5361871595261719,90,High
CUST100020,21,Kolkata,Self-Employed,60658.0,614,Personal Loan,78313.0,12,12.96,6993.23,2023-01-29,0,0,11.528949190543704,0.1075881719366503,0.4702846979877165,30,Low
CUST100021,40,Kolkata,Salaried,35000.0,829,Home Loan,789532.0,180,11.25,9098.13,2024-03-22,15,0,25.994657142857143,1.8798380952380955,0.3767081388913255,35,Medium
CUST100022,59,Chennai,Self-Employed,54908.0,614,Home Loan,972187.0,120,8.86,12241.71,2023-05-03,30,0,22.29494791287244,1.4754786794881134,0.4763537262827759,50,Medium
CUST100023,25,Lucknow,Self-Employed,38537.0,491,Gold Loan,51379.0,6,10.59,8829.6,2024-08-22,0,0,22.9120066429665,0.1111031822231448,0.6125105559542784,50,Medium
CUST100024,28,Kolkata,Business Owner,61762.0,710,Vehicle Loan,539414.0,60,12.09,12023.51,2024-11-03,0,0,19.467488099478643,0.7278126787776734,0.4606549564771932,35,Medium
CUST100025,47,Lucknow,Salaried,37327.0,565,Personal Loan,63205.0,12,12.21,5621.9,2023-07-17,313,1,15.061215741956223,0.141106527000116,0.5448229631478373,50,Medium
CUST100026,41,Kolkata,Self-Employed,34667.0,605,Gold Loan,53459.0,6,11.27,9204.99,2024-01-29,1,0,26.552600455764846,0.1285059759040778,0.5549999563456555,55,Medium
CUST100027,32,Mumbai,Self-Employed,35831.0,559,Business Loan,111427.0,12,14.54,10033.04,2024-09-25,0,0,28.0010047165862,0.2591494329863339,0.5780911990144719,65,Medium
CUST100028,35,Bengaluru,Self-Employed,36078.0,518,Business Loan,174606.0,12,14.88,15749.76,2024-11-12,346,1,43.65474804590055,0.4033067243195299,0.6870279272804968,75,High
CUST100029,33,Lucknow,Salaried,32443.0,651,Gold Loan,249486.0,24,11.75,11715.07,2024-09-16,0,0,36.109700089387545,0.6408316123663039,0.4389586074213943,70,High
CUST100030,38,Hyderabad,Business Owner,35000.0,783,Home Loan,961076.0,240,11.22,10064.41,2024-05-08,0,0,28.755457142857143,2.2882761904761906,0.4715558313511541,55,Medium
CUST100031,33,Lucknow,Business Owner,42143.0,679,Personal Loan,490057.0,48,15.79,13835.7,2023-10-08,0,0,32.83036328690411,0.969035980668992,0.6093414087381689,50,Medium
CUST100032,29,Mumbai,Salaried,47924.0,700,Vehicle Loan,162607.0,24,10.64,7551.61,2024-05-02,30,0,15.757470161088388,0.2827515093342236,0.3529554246718188,30,Low
CUST100033,38,Delhi,Business Owner,46375.0,767,Personal Loan,268838.0,48,14.02,7349.09,2023-07-01,0,0,15.84709433962264,0.4830871518418688,0.5052089766733003,20,Low
CUST100034,33,Jaipur,Salaried,47822.0,599,Gold Loan,117451.0,12,9.3,10287.61,2024-01-22,331,1,21.51229559616913,0.2046669594189564,0.4363649544642149,40,Medium
CUST100035,42,Chennai,Salaried,56825.0,581,Home Loan,1535599.0,240,9.68,14494.78,2023-02-22,0,0,25.507751869775632,2.251941633670626,0.3935404937793447,75,High
CUST100036,41,Chennai,Business Owner,127486.0,639,Business Loan,387966.0,24,12.44,18342.73,2023-07-08,0,0,14.388034764601604,0.2536003953375272,0.5288986237031816,30,Low
CUST100037,44,Ahmedabad,Self-Employed,51918.0,819,Home Loan,1180859.0,300,10.95,11531.09,2023-10-22,0,0,22.210196848877075,1.895391129601808,0.3864993853721499,20,Low
CUST100038,43,Delhi,Business Owner,89895.0,684,Business Loan,474003.0,24,13.75,22702.31,2024-03-11,0,0,25.25425218310251,0.4394043050225262,0.4855189761726682,45,Medium
CUST100039,40,Delhi,Self-Employed,89866.0,667,Gold Loan,140188.0,6,10.03,24052.92,2023-02-23,0,0,26.765317250127968,0.1299972551725161,0.4510014658206815,55,Medium
CUST100040,26,Kolkata,Salaried,62557.0,722,Gold Loan,60693.0,6,9.77,10405.7,2023-11-19,0,0,16.633949837747974,0.0808502645587224,0.379687243501802,30,Low
CUST100041,38,Lucknow,Business Owner,26655.0,575,Personal Loan,109636.0,24,17.5,5447.03,2024-07-18,166,1,20.43530294503845,0.3427624585756268,0.6122360195490312,50,Medium
CUST100042,30,Kolkata,Salaried,65496.0,623,Business Loan,172472.0,12,11.44,15278.78,2023-01-22,0,0,23.327806278246,0.2194434265705794,0.4309491380611363,40,Medium
CUST100043,21,Pune,Salaried,35000.0,598,Home Loan,1130886.0,120,9.05,14356.21,2023-08-29,0,0,41.01774285714285,2.6925857142857144,0.5448126874522301,85,High
CUST100044,21,Jaipur,Salaried,40315.0,893,Personal Loan,174845.0,48,15.9,4946.21,2023-12-15,0,0,12.268907354582662,0.3614142792178262,0.4298251779949025,0,Low
CUST100045,48,Hyderabad,Self-Employed,35407.0,636,Personal Loan,199520.0,36,12.16,6642.18,2024-11-29,281,1,18.759510831191573,0.469586993155779,0.5065097243098854,40,Medium
CUST100046,39,Bengaluru,Salaried,77183.0,841,Vehicle Loan,325801.0,36,13.68,11084.54,2023-10-25,0,0,14.361374914165037,0.3517624779204402,0.402867893619289,0,Low
CUST100047,37,Mumbai,Self-Employed,80317.0,748,Home Loan,1958810.0,180,10.24,21338.01,2023-02-14,0,0,26.567239812243983,2.0323738021423443,0.4034606320924082,55,Medium
CUST100048,31,Chennai,Salaried,71691.0,895,Personal Loan,825534.0,36,14.12,28262.93,2023-05-07,15,0,39.42326093930898,0.9595974390090808,0.5241921200815137,40,Medium
CUST100049,31,Delhi,Business Owner,63956.0,742,Business Loan,869800.0,60,12.15,19414.22,2023-10-02,1,0,30.35558821689912,1.1333312485667228,0.5160293654706702,45,Medium
CUST100050,35,Delhi,Self-Employed,93950.0,859,Home Loan,2199935.0,120,11.2,30553.7,2024-03-15,15,0,32.521234699308145,1.9513349299272664,0.4061829869484905,35,Medium
CUST100051,22,Kolkata,Self-Employed,48709.0,774,Personal Loan,106633.0,24,18.2,5333.87,2024-02-03,0,0,10.95048143053645,0.1824320625209578,0.4464121129598409,10,Low
CUST100052,42,Mumbai,Salaried,57920.0,609,Home Loan,1511649.0,300,9.69,13407.42,2024-04-30,0,0,23.14816988950276,2.174909357734806,0.3879543088189417,60,Medium
CUST100053,21,Bengaluru,Self-Employed,27203.0,618,Business Loan,189081.0,36,14.23,6483.48,2023-01-13,0,0,23.83369481307209,0.5792283939271404,0.5073261658646385,45,Medium
CUST100054,55,Kolkata,Salaried,65850.0,625,Business Loan,316703.0,12,13.97,28431.38,2024-08-10,360,1,43.17597570235384,0.4007884079979752,0.6572758168042775,65,Medium
CUST100055,51,Hyderabad,Self-Employed,28931.0,614,Personal Loan,201392.0,36,14.49,6931.13,2024-01-12,0,0,23.957450485638244,0.5800928646319403,0.5150530471725303,45,Medium
CUST100056,35,Pune,Salaried,67108.0,640,Vehicle Loan,446072.0,48,10.13,11341.41,2024-03-18,0,0,16.90023544137808,0.553923029544416,0.4372347147903628,45,Medium
CUST100057,38,Pune,Self-Employed,32874.0,665,Personal Loan,70737.0,12,12.88,6314.05,2023-11-24,0,0,19.20681997931496,0.1793134391920667,0.4708009235394113,40,Medium
CUST100058,23,Kolkata,Self-Employed,101996.0,701,Personal Loan,153446.0,24,14.81,7426.24,2023-09-19,15,0,7.280912976979489,0.1253692955279292,0.4559868744773735,20,Low
CUST100059,56,Lucknow,Business Owner,90318.0,484,Home Loan,1555125.0,240,9.19,14182.46,2023-06-16,269,1,15.702805642286144,1.4348607143648,0.6766579127815359,60,Medium
CUST100060,35,Kolkata,Self-Employed,40643.0,527,Vehicle Loan,154495.0,36,9.56,4953.26,2024-09-16,0,0,12.18724011514898,0.3167724659432949,0.5937739827911022,40,Medium
CUST100061,28,Chennai,Salaried,94644.0,522,Personal Loan,394619.0,48,17.73,11536.33,2024-06-29,30,0,12.189182621190987,0.3474590747080286,0.54675315246518,40,Medium
CUST100062,39,Ahmedabad,Self-Employed,35000.0,873,Home Loan,1175496.0,240,9.15,10689.91,2024-04-23,0,0,30.5426,2.7988,0.3741633638402746,45,Medium
CUST100063,44,Hyderabad,Business Owner,21702.0,729,Personal Loan,54433.0,12,14.54,4901.22,2024-05-27,0,0,22.58418578932817,0.2090168340859521,0.4849050105455288,30,Low
